CO,PM2.5,PM10,TSP,Slope,Air volume,Distance
20.6,0.98,1,1.02,0,0.9,10
20.5,0.98,1,1.01,0,0.9,10
20.4,0.98,1,1.01,0,0.9,10
20.3,0.98,0.99,1.01,0,0.9,10
20.2,0.97,0.98,1,0,0.9,10
20.1,0.97,0.98,1,0,0.9,10
20,0.97,0.98,1,0,0.9,10
19.8,0.97,0.98,1,0,0.9,10
19.8,0.97,0.98,0.99,0,0.9,10
19.7,0.97,0.98,0.99,0,0.9,10
19.6,0.97,0.98,0.99,0,0.9,10
19.5,0.97,0.99,1,0,0.9,10
19.5,0.97,0.99,1,0,0.9,10
19.4,0.98,0.99,1,0,0.9,10
19.4,0.98,0.99,1,0,0.9,10
19.4,0.98,0.99,1,0,0.9,10
19.4,0.98,0.99,1,0,0.9,10
19.4,0.98,0.99,1,0,0.9,10
19.3,0.97,0.99,1,0,0.9,10
19.2,0.97,0.99,1,0,0.9,10
19.1,0.97,0.99,1,0,0.9,10
19,0.97,0.99,1,0,0.9,10
18.9,0.97,0.99,1,0,0.9,10
18.7,0.97,0.99,1,0,0.9,10
18.5,0.97,0.98,1,0,0.9,10
18.4,0.97,0.98,1,0,0.9,10
18.3,0.97,0.98,0.99,0,0.9,10
18.1,0.97,0.98,0.99,0,0.9,10
18,0.97,0.98,0.99,0,0.9,10
18,0.96,0.97,0.98,0,0.9,10
17.9,0.96,0.97,0.98,0,0.9,10
17.9,0.96,0.97,0.98,0,0.9,10
17.8,0.95,0.96,0.97,0,0.9,10
17.8,0.95,0.96,0.97,0,0.9,10
17.7,0.94,0.96,0.97,0,0.9,10
17.7,0.94,0.96,0.97,0,0.9,10
17.6,0.94,0.96,0.97,0,0.9,10
17.6,0.94,0.95,0.96,0,0.9,10
17.5,0.94,0.95,0.96,0,0.9,10
17.5,0.93,0.94,0.95,0,0.9,10
17.4,0.92,0.93,0.94,0,0.9,10
17.3,0.92,0.93,0.94,0,0.9,10
17.3,0.91,0.92,0.94,0,0.9,10
17.2,0.91,0.92,0.94,0,0.9,10
17.2,0.9,0.92,0.93,0,0.9,10
17.2,0.9,0.92,0.93,0,0.9,10
17.2,0.9,0.92,0.93,0,0.9,10
17.2,0.89,0.91,0.91,0,0.9,10
17.2,0.89,0.91,0.9,0,0.9,10
17.2,0.88,0.89,0.9,0,0.9,10
17.2,0.87,0.88,0.88,0,0.9,10
17.1,0.87,0.88,0.88,0,0.9,10
17.1,0.86,0.87,0.87,0,0.9,10
17,0.86,0.87,0.87,0,0.9,10
16.8,0.84,0.87,0.87,0,0.9,10
16.8,0.84,0.85,0.86,0,0.9,10
16.7,0.84,0.85,0.86,0,0.9,10
16.6,0.84,0.85,0.86,0,0.9,10
16.5,0.83,0.84,0.85,0,0.9,10
16.5,0.83,0.84,0.85,0,0.9,10
16.4,0.82,0.83,0.84,0,0.9,10
16.4,0.82,0.83,0.84,0,0.9,10
16.4,0.81,0.82,0.83,0,0.9,10
16.4,0.81,0.82,0.83,0,0.9,10
16.4,0.81,0.82,0.83,0,0.9,10
16.4,0.8,0.81,0.82,0,0.9,10
16.4,0.8,0.81,0.82,0,0.9,10
16.4,0.79,0.8,0.81,0,0.9,10
16.4,0.78,0.79,0.8,0,0.9,10
16.4,0.78,0.79,0.8,0,0.9,10
16.3,0.76,0.78,0.78,0,0.9,10
16.3,0.76,0.78,0.78,0,0.9,10
16.3,0.75,0.78,0.78,0,0.9,10
16.4,0.75,0.76,0.77,0,0.9,10
16.6,0.75,0.76,0.77,0,0.9,10
16.8,0.74,0.75,0.76,0,0.9,10
17.1,0.74,0.74,0.75,0,0.9,10
17.4,0.73,0.74,0.75,0,0.9,10
17.8,0.73,0.74,0.75,0,0.9,10
18.2,0.73,0.74,0.75,0,0.9,10
